# Excluded regions file: 
# hipparcos stars brighter than 5th magnitude:
# -------------------------

# Shapes: BOX or SEGMENT
# types: ON, OFF or EX
# Sys: RADEC or GAL 
# BOX Geometry: width  length
# SEGMENT Geometry: r1 r2 phi1 phi1

#==========================================================================
# Shape Type Sys lambda   beta         Name             Geometry...
#==========================================================================

SEGMENT EX RADEC  219.47196  -49.42587        HIP_71536 0. 0.2 0. 360.
SEGMENT EX RADEC  219.89635  -60.83721        HIP_71681 0. 0.2 0. 360.
SEGMENT EX RADEC  219.90225  -60.83403        HIP_71683 0. 0.2 0. 360.
SEGMENT EX RADEC  220.28749   13.72831        HIP_71795 0. 0.2 0. 360.
SEGMENT EX RADEC  220.48250  -47.38824        HIP_71860 0. 0.2 0. 360.
SEGMENT EX RADEC  220.49015  -37.79353        HIP_71865 0. 0.2 0. 360.
SEGMENT EX RADEC  220.62693  -64.97519        HIP_71908 0. 0.2 0. 360.
SEGMENT EX RADEC  221.24693   27.07425        HIP_72105 0. 0.2 0. 360.
SEGMENT EX RADEC  221.56237    1.89289        HIP_72220 0. 0.2 0. 360.
SEGMENT EX RADEC  222.67655   74.15557        HIP_72607 0. 0.2 0. 360.
SEGMENT EX RADEC  222.71983  -16.04179        HIP_72622 0. 0.2 0. 360.
SEGMENT EX RADEC  224.63322  -43.13400        HIP_73273 0. 0.2 0. 360.
SEGMENT EX RADEC  224.79054  -42.10423        HIP_73334 0. 0.2 0. 360.
SEGMENT EX RADEC  226.27971  -47.05128        HIP_73807 0. 0.2 0. 360.
SEGMENT EX RADEC  227.21109  -45.27990        HIP_74117 0. 0.2 0. 360.
SEGMENT EX RADEC  227.98384  -48.73786        HIP_74376 0. 0.2 0. 360.
SEGMENT EX RADEC    2.29452   59.14983          HIP_746 0. 0.2 0. 360.
SEGMENT EX RADEC  229.25192   -9.38293        HIP_74785 0. 0.2 0. 360.
SEGMENT EX RADEC  229.72762  -68.67960        HIP_74946 0. 0.2 0. 360.
SEGMENT EX RADEC  230.18234   71.83408        HIP_75097 0. 0.2 0. 360.
SEGMENT EX RADEC  230.34320  -40.64755        HIP_75141 0. 0.2 0. 360.
SEGMENT EX RADEC  230.67049  -44.68966        HIP_75264 0. 0.2 0. 360.
SEGMENT EX RADEC  231.95741   29.10573        HIP_75695 0. 0.2 0. 360.
SEGMENT EX RADEC   24.42855  -57.23681         HIP_7588 0. 0.2 0. 360.
SEGMENT EX RADEC  233.67215   26.71472        HIP_76267 0. 0.2 0. 360.
SEGMENT EX RADEC  233.78540  -41.16679        HIP_76297 0. 0.2 0. 360.
SEGMENT EX RADEC  234.66424  -29.77778        HIP_76600 0. 0.2 0. 360.
SEGMENT EX RADEC  235.68589   26.29566        HIP_76952 0. 0.2 0. 360.
SEGMENT EX RADEC  236.06718    6.42563        HIP_77070 0. 0.2 0. 360.
SEGMENT EX RADEC  236.54710   15.42184        HIP_77233 0. 0.2 0. 360.
SEGMENT EX RADEC  237.40524   -3.43021        HIP_77516 0. 0.2 0. 360.
SEGMENT EX RADEC  237.70423    4.47773        HIP_77622 0. 0.2 0. 360.
SEGMENT EX RADEC  237.73994  -33.62719        HIP_77634 0. 0.2 0. 360.
SEGMENT EX RADEC  238.78588  -63.43078        HIP_77952 0. 0.2 0. 360.
SEGMENT EX RADEC  239.22135  -29.21410        HIP_78104 0. 0.2 0. 360.
SEGMENT EX RADEC  239.71317  -26.11413        HIP_78265 0. 0.2 0. 360.
SEGMENT EX RADEC  240.03074  -38.39674        HIP_78384 0. 0.2 0. 360.
SEGMENT EX RADEC  240.08356  -22.62173        HIP_78401 0. 0.2 0. 360.
SEGMENT EX RADEC  241.35950  -19.80547        HIP_78820 0. 0.2 0. 360.
SEGMENT EX RADEC  241.70198  -20.66921        HIP_78933 0. 0.2 0. 360.
SEGMENT EX RADEC  244.93536   46.31341        HIP_79992 0. 0.2 0. 360.
SEGMENT EX RADEC  245.29736  -25.59282        HIP_80112 0. 0.2 0. 360.
SEGMENT EX RADEC  245.99807   61.51427        HIP_80331 0. 0.2 0. 360.
SEGMENT EX RADEC   25.91518   50.68878         HIP_8068 0. 0.2 0. 360.
SEGMENT EX RADEC  247.35213  -26.43202        HIP_80763 0. 0.2 0. 360.
SEGMENT EX RADEC  247.55521   21.48963        HIP_80816 0. 0.2 0. 360.
